Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Alabama A & M University,6142,5521,1104,90,20,21849,27441,Alabama,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),5020,4439,581,4051,969,3799,252,97,89,81,81,7,1,32,89,89,1
University of Alabama at Birmingham,5689,4934,1773,87,36,22495,31687,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),18568,11961,6607,11502,7066,8357,3145,90,79,36,36,10,0,60,56,55,5
University of Alabama in Huntsville,2054,1656,651,81,39,23466,35780,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),7376,4802,2574,5696,1680,4237,1459,87,77,31,31,4,1,63,46,46,3
Alabama State University,10245,5251,1479,51,28,18286,25222,Alabama,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),6075,5182,893,5356,719,4872,484,93,87,76,76,13,11,34,81,81,0
The University of Alabama,30975,17515,6454,57,37,27000,41500,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),34752,29498,5254,29440,5312,26548,2892,75,60,20,18,4,3,50,42,41,8
Auburn University at Montgomery,1958,1639,579,84,35,17820,34020,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),5084,3223,1861,4322,762,2999,1323,90,67,48,48,5,5,48,36,36,0
Auburn University,15745,13027,3726,83,29,25282,41794,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),24864,21093,3771,19799,5065,18011,1788,76,68,13,13,3,1,65,32,31,3
Birmingham Southern College,1931,1240,356,64,29,45470,45470,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Arts & Sciences,1188,1167,21,1188,0,1167,21,98,97,21,21,9,26,96,80,80,7
Huntingdon College,1470,923,261,63,28,33885,33885,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1110,902,208,1110,0,902,208,100,100,48,48,16,53,99,78,77,10
Jacksonville State University,3083,2567,1158,83,45,21237,28029,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),8693,5982,2711,7588,1105,5779,1809,93,83,48,48,11,21,55,57,56,2
Judson College,268,198,68,74,34,28840,28840,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Remote,Baccalaureate Colleges--Arts & Sciences,347,262,85,347,0,262,85,100,100,82,64,18,84,100,83,83,12
University of West Alabama,462,460,380,100,83,18162,24672,Alabama,"Public, 4-year or above",Public,No,0,Rural: Remote,Master's Colleges and Universities (larger programs),4427,3890,537,1999,2428,1696,303,95,89,74,59,16,2,56,81,74,8
University of Mobile,866,617,259,71,42,32570,32570,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1610,1288,322,1481,129,1257,224,93,93,34,34,7,44,92,59,58,4
University of Montevallo,1385,1209,531,87,44,23340,33030,Alabama,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),3062,2526,536,2618,444,2350,268,88,80,38,38,5,1,63,55,55,3
University of North Alabama,2542,2057,970,81,47,16933,22525,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),6931,5133,1798,5881,1050,4795,1086,82,68,54,53,19,2,40,70,70,2
Oakwood University,2728,937,409,34,44,36295,36295,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Midsize,Baccalaureate Colleges--Diverse Fields,1903,1810,93,1861,42,1771,90,94,91,53,53,12,1,82,73,72,12
Samford University,3447,2653,765,77,29,40900,40900,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),4833,4361,472,3013,1820,2850,163,98,98,14,14,10,23,97,40,39,4
University of South Alabama,4814,4142,1878,86,45,19980,26628,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),15065,12028,3037,11307,3758,8767,2540,91,80,45,43,17,5,54,63,63,3
Spring Hill College,6596,3052,431,46,14,46170,46170,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),1422,1210,212,1292,130,1205,87,100,100,34,33,32,27,100,64,63,3
Stillman College,4121,1772,257,43,15,26877,26877,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Small,Baccalaureate Colleges--Arts & Sciences,863,808,55,863,0,808,55,100,100,74,74,41,34,87,78,78,2
Troy University,5946,4056,2087,68,51,18228,24564,Alabama,"Public, 4-year or above",Public,No,0,Rural: Fringe,Master's Colleges and Universities (larger programs),20573,10334,10239,16316,4257,9141,7175,78,73,48,48,7,1,38,75,75,3
Tuskegee University,10022,3519,650,35,18,32853,32853,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,Town: Distant,Baccalaureate Colleges--Diverse Fields,3118,2954,164,2584,534,2468,116,96,73,54,54,6,0,22,61,59,7
Alaska Pacific University,494,185,33,37,18,43180,43180,Alaska,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (smaller programs),669,323,346,387,282,245,142,100,100,42,42,15,15,100,58,58,4
Arizona State University-Tempe,21770,17465,7171,80,41,23837,37630,Arizona,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),48702,42498,6204,38730,9972,34989,3741,91,87,30,29,8,1,85,42,41,3
University of Arizona,26329,20251,7401,77,37,25179,42171,Arizona,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),40621,35388,5233,31670,8951,28401,3269,83,75,30,30,0,0,72,37,36,3
Embry-Riddle Aeronautical University-Prescott,1689,1334,448,79,34,46314,46314,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1921,1786,135,1879,42,1753,126,91,90,20,20,0,0,90,61,60,16
Northern Arizona University,33989,31057,4772,91,15,22746,35101,Arizona,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),26594,20533,6061,22160,4434,18577,3583,83,66,37,37,4,5,61,59,58,3
Prescott College,399,291,49,73,17,41336,41336,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (smaller programs),943,572,371,545,398,444,101,94,92,52,52,17,0,91,67,67,5
Arizona Christian University,344,209,90,61,43,35382,35382,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,635,454,181,635,0,454,181,99,98,45,38,13,1,97,68,68,7
University of Arkansas at Little Rock,1443,761,667,53,88,23191,32968,Arkansas,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,12377,6632,5745,9970,2407,5552,4418,94,92,53,53,5,71,46,46,46,1
Lyon College,1309,772,174,59,23,34154,34154,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,592,562,30,592,0,562,30,100,100,42,42,18,71,100,71,71,4
University of Arkansas,18908,11076,4339,59,39,22212,33468,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),25341,20379,4962,21009,4332,18565,2444,81,66,22,22,5,50,35,41,41,3
University of Arkansas at Pine Bluff,4094,1134,568,28,50,16882,22582,Arkansas,"Public, 4-year or above",Public,Yes,1,City: Small,Baccalaureate Colleges--Diverse Fields,2615,2328,287,2521,94,2300,221,96,92,82,82,25,27,41,74,74,1
Arkansas State University-Main Campus,4838,3653,1619,76,44,20014,25624,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),13552,8384,5168,10098,3454,7645,2453,95,93,48,48,7,74,63,50,50,1
Arkansas Tech University,3847,3271,1755,85,54,16086,20862,Arkansas,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),11369,7283,4086,10482,887,7063,3419,95,93,57,57,4,67,39,49,49,1
University of Central Arkansas,3659,3292,2157,90,66,18596,24341,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),11534,9045,2489,9754,1780,8285,1469,95,93,47,47,7,77,46,53,53,1
Central Baptist College,540,292,129,54,44,23224,23224,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,827,650,177,827,0,650,177,99,97,58,43,15,60,95,68,66,2
Harding University,2180,1663,1041,76,63,26634,26634,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (larger programs),6238,4820,1418,4428,1810,4105,323,98,96,28,28,15,22,94,58,58,5
Henderson State University,3350,2084,704,62,34,18934,25054,Arkansas,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (medium programs),3583,2953,630,3199,384,2878,321,98,95,60,57,12,70,54,58,57,2
Hendrix College,1928,1550,436,80,28,52536,52536,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1444,1434,10,1431,13,1422,9,100,100,20,20,14,41,100,46,46,4
John Brown University,1143,798,305,70,38,34776,34776,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,2596,1698,898,2080,516,1571,509,99,95,42,31,39,30,95,54,54,12
Ouachita Baptist University,1740,1220,394,70,32,32610,32610,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,1543,1507,36,1543,0,1507,36,99,99,29,29,6,60,99,61,61,7
University of the Ozarks,1061,651,159,61,24,36379,36379,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,585,571,14,585,0,571,14,98,92,44,43,19,55,90,64,50,53
Williams Baptist College,531,361,156,68,43,23886,23886,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,574,486,88,574,0,486,88,100,100,52,52,28,76,100,65,65,2
Southern Arkansas University Main Campus,2720,1654,663,61,40,19438,22588,Arkansas,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (medium programs),3404,2561,843,2960,444,2497,463,97,95,58,58,5,56,76,44,44,1
University of Arkansas-Fort Smith,3905,2240,1343,57,60,16498,22042,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Baccalaureate/Associate's Colleges,7170,5116,2054,7170,0,5116,2054,96,93,60,60,6,64,54,32,32,0
Azusa Pacific University,5329,4255,1250,80,29,45996,45996,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,10755,7783,2972,6543,4212,5683,860,92,89,26,26,3,23,87,50,49,2
Biola University,4816,3509,903,73,26,46624,46624,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,6301,5107,1194,4331,1970,4184,147,96,93,28,28,10,26,93,85,85,14
California Baptist University,3853,3036,993,79,33,42228,42228,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),7144,5864,1280,5797,1347,5086,711,95,93,46,46,15,39,93,76,76,12
California Institute of Technology,5535,584,249,11,43,58755,58755,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (very high research activity),2181,2181,0,977,1204,977,0,73,54,14,10,9,2,54,27,25,3
California Lutheran University,6920,3323,540,48,16,52577,52577,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),4282,3740,542,2888,1394,2717,171,98,98,23,23,4,20,97,59,59,4
California Polytechnic State University-San Luis Obispo,36941,11537,3635,31,32,24285,35445,California,"Public, 4-year or above",Public,No,0,Suburb: Small,Master's Colleges and Universities (larger programs),19703,18775,928,18739,964,18058,681,50,41,14,14,12,25,31,29,29,2
Alliant International University,128,63,28,49,44,29986,29986,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,4201,2038,2163,917,3284,179,738,75,75,75,75,75,0,50,75,75,0
California State University-Bakersfield,6630,4393,1328,66,30,21186,32346,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),8371,7190,1181,7350,1021,6519,831,81,74,64,64,6,47,60,35,35,1
California State University-Stanislaus,5763,4158,1109,72,27,22433,33593,California,"Public, 4-year or above",Public,No,0,Suburb: Small,Master's Colleges and Universities (larger programs),8917,7256,1661,7754,1163,6547,1207,82,73,60,60,9,62,53,35,35,0
California State University-San Bernardino,12239,7137,2448,58,34,20377,31537,California,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),18398,15213,3185,16191,2207,14299,1892,85,73,67,67,4,55,60,44,43,1
California State Polytechnic University-Pomona,28143,14686,3120,52,21,22571,33731,California,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),22501,18995,3506,20952,1549,18410,2542,68,53,43,43,3,37,36,43,43,3
California State University-Chico,17215,12327,2714,72,22,22362,33522,California,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),16356,14960,1396,15290,1066,14207,1083,63,46,37,36,7,34,33,45,44,2
California State University-Dominguez Hills,14742,8472,1214,57,14,21286,32446,California,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),14670,9599,5071,12481,2189,8574,3907,88,78,74,74,6,35,67,37,37,0
California State University-Fresno,16242,9444,3139,58,33,20682,31842,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),23060,19511,3549,20295,2765,17571,2724,80,72,62,62,5,58,50,30,30,1
California State University-Fullerton,38909,17817,4526,46,25,23505,34665,California,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),38325,29023,9302,33116,5209,26682,6434,66,51,41,41,2,42,33,35,35,2
California State University-East Bay,12741,8756,1572,69,18,22312,33472,California,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),14526,11733,2793,12146,2380,10546,1600,75,62,54,54,23,48,42,48,48,1
California State University-Long Beach,55019,16956,4276,31,25,22106,33266,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),35586,28440,7146,30593,4993,25815,4778,71,58,49,49,3,46,40,36,36,1
California State University-Los Angeles,27321,18448,2908,68,16,21705,32865,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),23258,18104,5154,19589,3669,16280,3309,82,76,72,72,5,47,57,32,32,1
California State University-Northridge,29339,13566,4149,46,31,21669,32829,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),38310,30423,7887,33771,4539,28200,5571,74,64,59,58,12,43,53,36,36,1
California State University-Sacramento,19702,13728,3151,70,23,23209,34369,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),28811,22735,6076,26094,2717,21094,5000,79,65,56,56,2,54,48,39,38,1
University of California-Berkeley,61717,11108,4162,18,37,33319,56197,California,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),36198,34675,1523,25951,10247,25220,731,69,60,27,27,15,25,58,30,29,1
University of California-Davis,49820,22526,5208,45,23,33066,55944,California,"Public, 4-year or above",Public,No,0,Suburb: Small,Research Universities (very high research activity),33307,31986,1321,26533,6774,25826,707,77,68,37,37,0,38,67,45,44,2
University of California-Irvine,56515,23956,5077,42,21,30504,53382,California,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),28895,28046,849,23530,5365,23127,403,77,71,48,48,26,49,65,46,46,7
University of California-Los Angeles,72676,15981,5620,22,35,32416,55294,California,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),40795,39794,1001,28674,12121,28084,590,62,54,31,31,7,30,51,34,34,1
University of California-Riverside,30391,18843,4034,62,21,32238,55116,California,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),21207,20653,554,18621,2586,18205,416,86,80,56,56,3,54,76,56,56,1
University of California-San Diego,60832,22812,4575,38,20,30470,53348,California,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),29517,28606,911,23805,5712,23152,653,62,54,30,30,1,30,51,41,40,9
University of California-Santa Barbara,55258,24556,4741,44,19,34051,56929,California,"Public, 4-year or above",Public,No,0,Suburb: Midsize,Research Universities (very high research activity),22225,21771,454,19362,2863,19076,286,70,63,41,41,0,41,62,47,46,2
University of California-Santa Cruz,33137,19851,3827,60,19,33153,56031,California,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),17203,16755,448,15695,1508,15323,372,80,72,51,51,1,51,71,62,62,1
California Maritime Academy,893,668,198,75,30,21102,32262,California,"Public, 4-year or above",Public,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1045,1008,37,1045,0,1008,37,68,43,26,26,5,24,27,60,60,3
Chapman University,11750,5253,1289,45,25,59459,59459,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),7892,7071,821,6005,1887,5753,252,87,81,19,18,6,14,81,75,75,5
Concordia University-Irvine,2055,1874,373,91,20,43550,43550,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),4046,3345,701,1944,2102,1746,198,100,100,27,27,9,24,100,68,68,7
San Diego Christian College,561,276,99,49,36,40252,40252,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,914,817,97,892,22,795,97,100,98,67,67,10,26,87,94,94,10
Claremont McKenna College,5518,647,337,12,52,62010,62010,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1328,1324,4,1316,12,1312,4,53,49,11,11,0,7,49,16,9,11
Dominican University of California,2322,1800,305,78,17,58860,58860,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),2147,1603,544,1603,544,1298,305,98,98,31,31,16,28,98,92,92,9
Fresno Pacific University,705,553,212,78,38,36991,36991,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),3393,2423,970,2586,807,2137,449,99,99,55,55,2,55,97,68,68,2
Harvey Mudd College,3539,643,217,18,34,63860,63860,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,807,805,2,807,0,805,2,75,71,16,16,14,9,71,41,40,2
Holy Names University,561,318,87,57,27,49041,49041,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),1343,827,516,888,455,677,211,100,100,48,48,9,36,100,89,89,8
Humboldt State University,9978,8000,1237,80,15,22556,33716,California,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (medium programs),8293,7631,662,7767,526,7256,511,74,61,46,46,2,44,48,61,61,3
American Jewish University,100,59,23,59,39,46869,46869,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,229,188,41,112,117,108,4,92,92,25,25,25,0,92,50,42,8
University of La Verne,6989,2722,623,39,23,51997,51997,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,8796,5550,3246,5216,3580,3641,1575,97,96,47,47,7,45,96,73,73,14
La Sierra University,3479,1627,477,47,29,41490,41490,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),2440,2112,328,2105,335,1912,193,100,100,55,55,16,47,99,75,75,4
The Master's College and Seminary,849,521,209,61,40,42147,42147,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1499,1105,394,1112,387,981,131,99,95,33,33,9,24,93,62,62,6
Loyola Marymount University,11472,6209,1341,54,22,57379,57379,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),9661,8710,951,6205,3456,5935,270,90,84,20,20,13,18,84,49,47,29
Menlo College,4100,1519,139,37,9,53834,53834,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,745,712,33,745,0,712,33,98,98,33,33,15,24,98,64,63,5
Mills College,1827,1242,217,68,17,56812,56812,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),1595,1424,171,985,610,922,63,100,99,42,42,25,37,99,76,76,12
Mount St Mary's College,2316,1716,559,74,33,51100,51100,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (smaller programs),3274,2508,766,2625,649,2092,533,100,100,70,70,6,66,100,97,97,15
Notre Dame de Namur University,1922,1676,172,87,10,49038,49038,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),2030,1071,959,1213,817,826,387,100,97,49,49,13,34,97,76,76,1
Occidental College,6072,2574,548,42,21,63363,63363,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,2128,2113,15,2128,0,2113,15,69,65,21,21,16,12,65,45,40,24
Hope International University,408,191,78,47,41,39537,39537,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1356,935,421,925,431,678,247,98,98,51,51,16,48,96,86,86,2
Pacific Union College,2103,1063,335,51,32,39852,39852,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Arts & Sciences,1647,1456,191,1645,2,1454,191,100,100,50,50,32,35,100,83,79,49
University of the Pacific,14222,10332,958,73,9,57033,57033,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,6421,5749,672,3877,2544,3780,97,91,90,29,29,25,30,90,56,56,0
Pepperdine University,9721,3630,784,37,22,61192,61192,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,7315,5414,1901,3538,3777,3172,366,72,68,22,22,9,15,66,50,48,6
Pitzer College,4115,597,261,15,44,61416,61416,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1081,1044,37,1081,0,1044,37,41,33,14,14,8,5,33,28,24,4
Point Loma Nazarene University,3138,2088,647,67,31,44593,44593,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),3359,2669,690,2556,803,2483,73,93,86,27,27,6,25,82,64,64,9
Pomona College,7153,996,397,14,40,59730,59730,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1610,1596,14,1610,0,1596,14,68,57,20,19,17,10,57,28,17,17
University of Redlands,4668,3137,673,67,21,58559,58559,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),5147,3907,1240,3607,1540,2702,905,94,93,26,26,26,38,93,66,66,5
San Diego State University,51163,15970,4139,31,26,25068,36228,California,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),31899,26859,5040,27099,4800,24037,3062,62,48,34,34,0,41,29,35,35,2
University of San Diego,14693,7178,1238,49,17,58189,58189,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,8321,7066,1255,5665,2656,5486,179,76,72,17,17,16,12,72,46,45,16
San Francisco State University,31462,20070,3807,64,19,23828,34988,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),29905,24422,5483,26156,3749,22111,4045,70,53,47,47,22,38,40,46,45,2
University of San Francisco,14808,9076,1148,61,13,58384,58384,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,10112,9255,857,6392,3720,6111,281,71,66,24,24,7,20,65,52,51,7
San Jose State University,25155,15967,3384,63,21,23629,34789,California,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),31278,24196,7082,25862,5416,20852,5010,60,45,40,40,12,30,30,40,40,0
Santa Clara University,14339,7344,1278,51,17,59589,59589,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),8770,7225,1545,5435,3335,5338,97,84,82,12,12,3,11,82,41,40,3
Scripps College,2378,849,272,36,32,61370,61370,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1009,996,13,990,19,979,11,61,52,12,12,3,8,52,42,37,18
Simpson University,573,318,150,55,47,35324,35324,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1255,1088,167,1024,231,993,31,100,99,48,48,10,43,99,98,98,3
Saint Mary's College of California,4864,3379,622,69,18,58365,58365,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Master's Colleges and Universities (larger programs),4257,3490,767,3055,1202,2823,232,91,89,25,25,17,25,89,67,65,13
Sonoma State University,13142,10758,1749,82,16,23295,34455,California,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),9120,8052,1068,8391,729,7679,712,62,41,29,29,7,28,30,46,46,2
Vanguard University of Southern California,1495,1043,392,70,38,43076,43076,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,2415,1678,737,2135,280,1576,559,99,98,39,39,31,36,97,73,73,8
University of Southern California,47358,9395,2922,20,31,62180,62180,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),41368,35895,5473,18445,22923,17729,716,67,59,18,18,17,12,59,34,34,2
Thomas Aquinas College,178,141,88,79,62,35716,35716,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,366,366,0,366,0,366,0,82,75,35,35,0,12,73,77,73,5
Westmont College,2145,1505,298,70,20,53670,53670,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Arts & Sciences,1321,1311,10,1308,13,1298,10,99,99,21,21,14,15,99,59,57,21
Whittier College,4381,2771,446,63,16,53700,53700,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,2339,2065,274,1656,683,1623,33,94,93,35,35,6,30,92,69,67,24
