Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Hilbert College,865,703,191,81,27,30140,30140,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1070,928,142,1020,50,884,136,98,96,57,57,5,74,95,84,84,10
Hobart William Smith Colleges,4385,2168,643,49,30,59850,59850,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,2372,2328,44,2368,4,2324,44,81,77,17,17,10,19,77,53,52,10
Hofstra University,22733,13346,1488,59,11,54289,54289,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,10928,9383,1545,6826,4102,6378,448,96,95,23,23,12,21,92,61,61,13
Houghton College,807,735,223,91,30,39590,39590,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Remote,Baccalaureate Colleges--Arts & Sciences,1100,1032,68,1081,19,1023,58,100,100,45,44,23,47,100,72,71,15
Iona College,5911,5445,922,92,17,49295,49295,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),4241,3389,852,3539,702,3110,429,98,98,31,31,10,40,97,74,74,11
Ithaca College,15658,10429,1789,67,17,55587,55587,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Master's Colleges and Universities (larger programs),6723,6562,161,6234,489,6131,103,92,88,19,19,9,23,87,71,71,0
Keuka College,1375,1207,228,88,19,43005,43005,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),2036,1658,378,1830,206,1514,316,100,100,49,46,23,69,98,93,93,17
Le Moyne College,5924,3667,622,62,17,44900,44900,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),3319,2538,781,2785,534,2401,384,100,100,53,34,37,54,100,77,76,17
LIU Brooklyn,5695,4949,879,87,18,50514,50514,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),8483,6261,2222,5006,3477,4195,811,97,97,71,71,54,54,96,66,65,6
LIU Post,6001,4841,659,81,14,50934,50934,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),10599,4824,5775,7983,2616,3661,4322,96,96,38,38,23,45,95,57,56,6
Manhattan College,7268,4809,757,66,16,52005,52005,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),3883,3392,491,3403,480,3195,208,92,91,31,31,3,35,91,67,64,13
Manhattanville College,3930,3016,476,77,16,52240,52240,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),2750,1900,850,1719,1031,1611,108,99,98,39,39,11,39,98,70,69,7
